date,1. open,2. high,3. low,4. close,5. volume,pct_change,moving_avg_50
2024-08-08,160.51,163.69,160.21,162.03,25578839.0,0.0,
2024-08-07,161.25,162.98,158.47,158.94,25138573.0,-0.019070542492131137,
2024-08-06,159.33,160.57,156.41,158.29,49004561.0,-0.004089593557317306,
2024-08-05,155.5,164.43,154.93,159.25,53630673.0,0.006064817739591888,
2024-08-02,166.44,168.51,164.67,166.66,29130102.0,0.04653061224489785,
2024-08-01,170.25,174.05,168.88,170.76,24531392.0,0.024600984039361506,
2024-07-31,173.24,174.245,170.01,171.54,25729090.0,0.004567814476458265,
2024-07-30,170.24,171.2299,168.44,170.29,18959686.0,-0.007286930162061278,
2024-07-29,168.83,170.43,167.99,169.53,20293822.0,-0.004462974925127705,
2024-07-26,167.15,168.09,164.06,167.0,41336886.0,-0.014923612339998837,
2024-07-25,172.52,173.42,167.19,167.28,44851973.0,0.0016766467065867374,
2024-07-24,173.6,176.19,171.82,172.63,49585203.0,0.03198230511716882,
2024-07-23,182.05,183.61,181.54,181.79,36352714.0,0.05306146092799624,
2024-07-22,180.59,182.7,180.23,181.67,24100345.0,-0.0006601023158590014,
2024-07-19,178.88,180.29,177.13,177.66,18881885.0,-0.022072989486431438,
2024-07-18,181.93,182.5,176.47,177.69,25315727.0,0.0001688618709896339,
2024-07-17,182.965,183.55,179.9,181.02,20734071.0,0.01874050312341735,
2024-07-16,187.36,188.68,183.3736,183.92,18290722.0,0.0160203292453871,
2024-07-15,184.92,188.24,184.92,186.53,16474043.0,0.014190952588081895,
2024-07-12,185.08,187.11,184.49,185.07,22898406.0,-0.007827159170106679,
2024-07-11,189.845,190.86,185.08,185.57,25625784.0,0.002701680445236887,
2024-07-10,189.15,191.75,189.03,191.18,15952454.0,0.030231179608773084,
2024-07-09,190.31,191.36,188.72,188.98,15141312.0,-0.011507479861910364,
2024-07-08,189.895,190.17,187.78,189.03,21035886.0,0.0002645782622501258,
2024-07-05,185.855,190.86,185.8,190.6,20967450.0,0.008305559964026932,
2024-07-03,184.85,186.09,184.0,185.82,10242126.0,-0.025078698845750313,
2024-07-02,182.05,185.57,181.56,185.24,17372485.0,-0.0031213001829726306,
2024-07-01,183.03,183.88,181.3,182.99,16006128.0,-0.012146404664219346,
2024-06-28,184.32,185.13,181.96,182.15,29156644.0,-0.004590414776763807,
2024-06-27,184.18,186.05,184.02,185.41,18848884.0,0.0178973373593192,
2024-06-26,182.63,184.51,182.48,183.88,19838972.0,-0.00825198209373823,
2024-06-25,179.62,184.29,179.42,184.03,23235589.0,0.0008157494017837497,
2024-06-24,180.16,180.89,178.67,179.22,18298012.0,-0.026137042873444538,
2024-06-21,177.0,180.85,176.61,179.63,58582743.0,0.0022876911059033223,
2024-06-20,175.37,177.29,174.99,176.3,20160085.0,-0.018538106106997576,
2024-06-18,177.14,177.385,174.1042,175.09,21869857.0,-0.006863301191151527,
2024-06-17,175.46,178.36,174.81,177.24,19618497.0,0.012279399166143179,
2024-06-14,174.22,177.0623,174.15,176.79,18063555.0,-0.002538930264048833,
2024-06-13,176.11,176.74,174.88,175.16,20913299.0,-0.009219978505571547,
2024-06-12,178.25,180.41,176.11,177.79,27864737.0,0.015014843571591552,
2024-06-11,176.22,176.84,173.7701,176.62,21540582.0,-0.006580797570166941,
2024-06-10,174.97,177.06,172.76,175.01,23779218.0,-0.009115615445589476,
2024-06-07,177.05,177.87,174.3,174.46,19661399.0,-0.00314267756128217,
2024-06-06,175.895,177.15,175.75,176.73,23251013.0,0.01301157858534907,
2024-06-05,175.2,176.645,173.9339,175.41,22068519.0,-0.00746902053980647,
2024-06-04,173.28,173.845,171.89,173.79,26879596.0,-0.009235505387378162,
