date,1. open,2. high,3. low,4. close,5. volume,pct_change,moving_avg_50
2024-08-08,497.5,509.96,494.72,509.63,16156843.0,0.0,
2024-08-07,503.13,510.15,486.86,488.92,20105307.0,-0.04063732511822293,
2024-08-06,479.0,502.56,478.65,494.09,20954959.0,0.010574327088276103,
2024-08-05,451.345,483.48,450.8,475.73,21396191.0,-0.03715922200408828,
2024-08-02,489.0,501.145,476.15,488.14,24044658.0,0.02608622537994232,
2024-08-01,521.0,527.1709,492.1,497.74,43083082.0,0.01966648912197333,
2024-07-31,471.02,476.5,466.75,474.83,24285777.0,-0.046028046771406816,
2024-07-30,467.0,472.73,456.7,463.19,11390439.0,-0.024514036602573563,
2024-07-29,469.88,473.96,465.02,465.71,11339630.0,0.005440531963125217,
2024-07-26,464.195,469.77,459.42,465.7,14222388.0,-2.1472590238547085e-05,
2024-07-25,463.26,463.548,442.65,453.41,18240489.0,-0.026390380073008313,
2024-07-24,472.305,476.3,460.58,461.27,17649738.0,0.01733530358836366,
2024-07-23,489.84,495.22,487.72,488.69,9455527.0,0.059444576928913584,
2024-07-22,486.575,492.06,483.9,487.4,12023088.0,-0.0026397102457591526,
2024-07-19,476.06,486.71,475.71,476.79,15149416.0,-0.021768567911366388,
2024-07-18,475.0,479.2393,464.54,475.85,19267160.0,-0.0019715178590155036,
2024-07-17,479.17,479.17,459.12,461.99,28076595.0,-0.029126825680361512,
2024-07-16,501.5,503.9499,485.79,489.79,14075833.0,0.060174462650706806,
2024-07-15,498.63,506.6799,493.37,496.16,12539163.0,0.013005573817350236,
2024-07-12,497.755,508.09,494.23,498.87,19750544.0,0.005461947758787389,
2024-07-11,530.89,535.46,508.3733,512.7,16458253.0,0.02772265319622358,
2024-07-10,530.79,538.88,528.36,534.69,10983276.0,0.04289057928613227,
2024-07-09,533.75,537.48,528.1901,530.0,8769088.0,-0.008771437655464065,
2024-07-08,542.35,542.81,526.65,529.32,14917495.0,-0.0012830188679244792,
2024-07-05,511.6,540.87,511.6,539.91,21354093.0,0.02000680117887077,
2024-07-03,506.37,511.28,506.02,509.96,6005615.0,-0.05547220833101807,
2024-07-02,500.76,510.5,499.45,509.5,7739479.0,-0.0009020315318848393,
2024-07-01,504.95,506.58,493.17,504.68,10328150.0,-0.009460255152109909,
2024-06-28,517.15,521.88,503.84,504.22,15855137.0,-0.0009114686534040795,
2024-06-27,514.25,522.8799,513.9,519.56,10121199.0,0.03042322795605079,
2024-06-26,506.645,513.81,504.6765,513.12,8882337.0,-0.01239510354915685,
2024-06-25,497.05,510.71,495.5,510.6,12109769.0,-0.004911131898970966,
2024-06-24,499.2,507.8,494.29,498.91,13525278.0,-0.02289463376419898,
2024-06-21,503.45,503.45,492.39,494.78,23130732.0,-0.008278046140586581,
2024-06-20,502.0,503.67,496.77,501.7,11801182.0,0.013986013986013957,
2024-06-18,504.56,506.0,495.02,499.49,13060425.0,-0.004405022922064905,
2024-06-17,501.67,510.75,496.01,506.63,11266601.0,0.014294580472081542,
2024-06-14,502.65,507.15,500.75,504.16,10243347.0,-0.004875352821585688,
2024-06-13,505.71,509.36,501.36,504.1,9954621.0,-0.00011900983814661092,
2024-06-12,513.99,514.01,504.47,508.84,11983227.0,0.009402896250743753,
2024-06-11,500.16,507.6,498.27,507.47,9673715.0,-0.00269239839635238,
2024-06-10,493.86,502.66,493.41,502.6,11236919.0,-0.00959662640156067,
2024-06-07,495.91,498.91,490.1701,492.96,9380745.0,-0.019180262634301726,
2024-06-06,492.98,502.82,490.89,493.76,10667339.0,0.001622849724115527,
2024-06-05,484.45,496.65,483.91,495.06,15690484.0,0.002632858068697397,
2024-06-04,477.0,478.89,473.2322,476.99,7088718.0,-0.03650062618672478,
2024-06-03,470.86,479.6,468.24,477.49,11279390.0,0.0010482400050315643,
2024-05-31,465.8,469.12,454.4601,466.83,16919805.0,-0.02232507487067792,
2024-05-30,471.67,471.73,464.71,467.05,10735226.0,0.0004712636291583916,
